feature_ID,lower_PIN,PIN,owner_middleinitial,owner_name,owner_address,owner_address2,owner_city,owner_state,street_number,street_directionality,street_name,street_type,full_address,city,state,zipcode,tax_code,first_name,last_name,firestation,firezone
588,1809403005,1809403005, ,MURRAY PLACE DEVELOPMENT LLC,100 WALNUT ST SUITE 100, ,PEORIA,IL,100, ,WALNUT,ST,100 WALNUT ST,PEORIA,IL,61602,44, ,MURRAY PLACE DEVELOPMENT LLC,1,101
589,1809410007,1809410007, ,IRON FRONT LLC,PO BOX 5605, ,PEORIA,IL,400,SW,WATER,ST,400 SW WATER ST,PEORIA,IL,61602,44, ,IRON FRONT LLC,1,101
590,1809410011,1809410011, ,AMEREN ILLINOIS COMPANY,P O BOX 66149 MC 210, ,SAINT LOUIS,MO, ,SW,WATER,ST,SW WATER ST,PEORIA,IL,61602,44, ,AMEREN ILLINOIS COMPANY,1,101
592,1809403002,1809403002, ,MPD PARTNERS LLC,100 WALNUT ST SUITE 100, ,PEORIA,IL,512,SW,WASHINGTON,ST,512 SW WASHINGTON ST,PEORIA,IL,61602,44, ,MPD PARTNERS LLC,1,101
1296,1809333001,1809333001, ,CITY OF PEORIA,419 FULTON ST, ,PEORIA,IL,542,SW,ADAMS,ST,542 SW ADAMS ST,PEORIA,IL,61602,44, ,CITY OF PEORIA,1,101
1304,1809404003,1809404003, ,HGI LLC,611 SW WASHINGTON ST, ,PEORIA,IL,420,SW,WASHINGTON,ST,420 SW WASHINGTON ST,PEORIA,IL,61602,27, ,HGI LLC,1,101
1946,1809402019,1809402019,A,"HUBER, KERMIT A",P O BOX 5605, ,PEORIA,IL,423,SW,WASHINGTON ST - AAC BUILDING, ,423 SW WASHINGTON ST - AAC BUILDING,PEORIA,IL,61602,44,KERMIT,HUBER,1,101
1953,1809257004,1809257004,R,"WHITEHURST, DAVID R",414 SW ADAMS ST, ,PEORIA,IL,412,SW,ADAMS,ST,412 SW ADAMS ST,PEORIA,IL,61602,44,DAVID,WHITEHURST,1,101
1954,1809402014,1809402014,A,"HUBER, KERMIT A",P O BOX 5605, ,PEORIA,IL, , ,CGN PARKING LOT, ,CGN PARKING LOT,PEORIA,IL,61602,44,KERMIT,HUBER,1,101
1955,1809257008,1809257008, ,CMT REAL ESTATE COMPANY,2750 W WASHINGTON ST, ,SPRINGFIELD,IL,203, ,HARRISON,ST,203 HARRISON ST,PEORIA,IL,61602,44, ,CMT REAL ESTATE COMPANY,1,101
1960,1809253014,1809253014, ,GREATER PEORIA MASS TRANSIT DISTRICT,2105 NE JEFFERSON AVE, ,PEORIA,IL,407,SW,ADAMS,ST,407 SW ADAMS ST,PEORIA,IL,61605,44, ,GREATER PEORIA MASS TRANSIT DISTRICT,1,101
1974,1809410005,1809410005, ,RIVERFRONT VILLAGE DEVELOPERS LLC,C/O WISDOM DEVELOPMENT GROUP INC,405 SW COMMERCIAL ST,PEORIA,IL,418,SW,WATER,ST,418 SW WATER ST,PEORIA,IL,61602,44, ,RIVERFRONT VILLAGE DEVELOPERS LLC,1,101
1975,1809406008,1809406008, ,IRON FRONT LLC,C/O KERMIT A HUBER,P O BOX 5605,PEORIA,IL,401,SW,WATER,ST,401 SW WATER ST,PEORIA,IL,61602,27, ,IRON FRONT LLC,1,101
2006,1809191002,1809191002, ,CATERPILLAR INC,ATTN CORPORATE TAX,100 NE ADAMS ST,PEORIA,IL,520,SW,JEFFERSON,ST,520 SW JEFFERSON ST,PEORIA,IL,61605,44, ,CATERPILLAR INC,1,101
576,1809254006,1809254006, ,335 SW ADAMS LLC,4508 W MONTROSE AVE, ,CHICAGO,IL,335,SW,ADAMS,ST,335 SW ADAMS ST,PEORIA,IL,61602,44, ,335 SW ADAMS LLC,1,102
578,1809254001,1809254001, ,301 PEORIA IL LLC,C/O LADDER CAPITAL FINANCE LLC,345 PARK AVE 8TH FLOOR,NEW YORK,NY,312,SW,JEFFERSON,AVE,312 SW JEFFERSON AVE,PEORIA,IL,61602,44, ,301 PEORIA IL LLC,1,102
579,1809254004,1809254004, ,301 PEORIA IL LLC,C/O LADDER CAPITAL FINANCE LLC,345 PARK AVE 8TH FLOOR,NEW YORK,NY,304,SW,JEFFERSON,AVE,304 SW JEFFERSON AVE,PEORIA,IL,61602,44, ,301 PEORIA IL LLC,1,102
591,1809411003,1809411003, ,HARRISON SUBSTATION LLC,C/O WISDOM DEVELOPMENT,405 SW COMMERCIAL ST,PEORIA,IL,330,SW,WATER,ST,330 SW WATER ST,PEORIA,IL,61602,27, ,HARRISON SUBSTATION LLC,1,102
1305,1809251009,1809251009, ,PEORIA CIVIC,201 SW JEFFERSON AVE, ,PEORIA,IL,201,SW,JEFFERSON,ST,201 SW JEFFERSON ST,PEORIA,IL,61602,1, ,PEORIA CIVIC,1,102
1307,1809202016,1809202016, ,DOC PROPERTY LLC,P O BOX 5605, ,PEORIA,IL,607, ,MAIN,ST,607 MAIN ST,PEORIA,IL,61602,46, ,DOC PROPERTY LLC,1,102
1914,1809202009,1809202009, ,PEORIA MAIN STREET LLC,P O BOX 56, ,PEORIA,IL,627, ,MAIN,ST,627 MAIN ST,PEORIA,IL,61602,46, ,PEORIA MAIN STREET LLC,1,102
1940,1809209030,1809209030, ,LEXINGTON HOUSE CORPORATION,401 MAIN ST SUITE 110, ,PEORIA,IL,419, ,MAIN,ST,419 MAIN ST,PEORIA,IL,61602,123, ,LEXINGTON HOUSE CORPORATION,1,102
1943,1809206015,1809206015, ,PERE MARQUETTE HOTEL LLC,450 N MAIN ST, ,EAST PEORIA,IL,501, ,MAIN,ST,501 MAIN ST,PEORIA,IL,61602,46, ,PERE MARQUETTE HOTEL LLC,1,102
