Occupancy Name,Address,NFF GPM,Flow Available,OVAP Score
Academy of Okinawan Karate,8875 N Knoxville AVE,0,Insufficient,0
,"Peoria, IL 61615",,,
the former Napoli's Pizza,2200 W War Memorial DR,196,Sufficient,29.46
,#DU19A,,,
,"Peoria, IL 61613",,,
(Office w/ Unkown name),701 Main ST,452,Sufficient,29.46
,#7,,,
,"Peoria, IL 61602",,,
(vacant mercantile),2200 W War Memorial DR,163,Sufficient,21.02
,#DU08,,,
,"Peoria, IL 61613",,,
1505 on the Avenue Apartments,1505 N Peoria AVE,1764,Sufficient,39.11
,"Peoria, IL 61603",,,
311 SW Water,311 SW Water ST,1018,Sufficient,33
,"Peoria, IL 61603",,,
401 Management Office,401 SW Water ST,134,Sufficient,31.53
,#201,,,
,"Peoria, IL 61602",,,
401 Water - CAFE 401,401 SW Water ST,164,Sufficient,30.31
,#102,,,
,Building #102,,,
,"Peoria, IL 61602",,,
401 Water - Hodges Loizzi Eisenhammer,401 SW Water ST,329,Sufficient,30.55
,#106,,,
,"Peoria, IL 61602",,,
401 Water - VOLT,401 SW Water ST,636,Sufficient,27.13
,#101,,,
,"Peoria, IL 61602",,,
5 Senses,5037 W American Prairie DR,493,Sufficient,27.26
,"Peoria, IL 61615",,,
8 Bit Beercade,100 State ST,785,Insufficient,0
,#A,,,
,"Peoria, IL 61602",,,
A WORLD OF WINGS,1024 W MAIN ST,805,Sufficient,37.03
,"PEORIA, IL 61606",,,
AAIM Employers Association,401 SW Water ST,268,Sufficient,28.23
,"Peoria, IL 61602",,,
AAMCO Transmissions,512 NE Jefferson AVE,2766,Insufficient,47.07
,"Peoria, IL 61603",,,
Aaron Simmons State Farm,318 W McClure,889,Sufficient,31.17
,"Peoria, IL 61604",,,
Abes Carmel corn,4700 N University ST,0,Insufficient,0
,#11,,,
,Building #11,,,
,"Peoria, IL 61614",,,
Academy of Awards,701 Main ST,0,Insufficient,0
,#3,,,
,"Peoria, IL 61602",,,
Accel Entertainment,921 W Detweiller DR,882,Sufficient,24.08
,"Peoria, IL 61615",,,
ACPM Podiatry Group LTD,5017 N Glen Park PL,405,Sufficient,33.37
,"Peoria, IL 61614",,,
ADVANCE AUTO PARTS,8412 N Knoxville AVE,675,Insufficient,32.27
,"Peoria, IL 61615",,,
ADVANCED MEDICAL Home Care,4918 N SHERIDAN,986,Insufficient,0
,"Peoria, IL 61614",,,
Advanced Technology Recycle,8202 N University ST,1559,Sufficient,30.31
,"Peoria, IL 61614",,,
Advantage Auto Sales,814 W Main ST,900,Insufficient,31.41
,"Peoria, IL 61606",,,
Aerie,2200 W War Memorial DR,472,Sufficient,30.31
,"Peoria, IL 61613",,,
Aeropostale,2200 W War Memorial DR,471,Sufficient,30.56
,#B106,,,
,"Peoria, IL 61613",,,
aesthetique,6745 N Frostwood PKY,0,Insufficient,0
,"Peoria, IL 61615",,,
Alcast,8820 N Pioneer RD,836,Sufficient,33.8
,"Peoria, IL 61615",,,
ALCAST,8728 N Pioneer RD,656,Sufficient,29.45
,"Peoria, IL 61615",,,
Aldi #10,3420 N University ST,1675,Insufficient,30.8
,"Peoria, IL 61614",,,
Aldi #70,9129 N Allen RD,1800,Sufficient,26.4
,"Peoria, IL 61615",,,
Alexander Street Steakhouse,100 Alexander AVE,2036,Insufficient,32.51
,"Peoria, IL 61603",,,
ALLIED LOCK AND SAFE,4919 N SHERIDAN,0,Insufficient,0
,"Peoria, IL 61614",,,
Alpha Chi Omega,1525 W Fredonia AVE,839,Sufficient,19.67
,"Peoria, IL 61606",,,
Alpha Epsilon Pi,1309 W Fredonia AVE,158,Sufficient,16.22
,"Peoria, IL 61606",,,
Alter Ego Hair Salon,4530 N Brandywine DR,1082,Insufficient,36.05
,#E,,,
,"Peoria, IL 61614",,,
American Cancer Society,"Peoria, IL 61614",795,Sufficient,25.67
American Eagle Outfitters,2200 W War Memorial DR,566,Sufficient,31.66
,#DU12A,,,
,"Peoria, IL 61613",,,
AMERICAN FAMILY INSURANCE,4917 N SHERIDAN,0,Insufficient,0
,"PEORIA, IL 61614",,,
American Red Cross,405 W John H Gwynn Jr AVE,1479,Insufficient,33.33
,"Peoria, IL 61605",,,
American Red Cross,311 W John H Gwynn Jr AVE,1423,Sufficient,28.36
,"Peoria, IL 61605",,,
AmeriCash,5012 N Big Hollow RD,407,Sufficient,33
,#A,,,
,"Peoria, IL 61614",,,
Americinn,9106 N Lindbergh DR,3607,Insufficient,36.06
,"Peoria, IL 61615",,,
Amy's on Adams,4201 SW Adams ST,697,Sufficient,27.5
,"Peoria, IL 61605",,,
Anchors Away,4100 W Willow Knolls DR,414,Sufficient,33.98
,#C-12,,,
,"Peoria, IL 61615",,,
Angela's Candy,456 Fulton ST,31,Sufficient,20.17
,"Peoria, IL 61602",,,
Apartments At Grand Prairie,5400 W Sienna LN,540,Sufficient,27.5
,Building #Club House,,,
,"Peoria, IL 61615",,,
Apartments At Grand Prairie,5400 W Sienna LN,1743,Sufficient,29.55
,Building #1000,,,
,"Peoria, IL 61615",,,
Apartments At Grand Prairie,5400 W Sienna LN,1743,Sufficient,29.55
,Building #3000,,,
,"Peoria, IL 61615",,,
Apartments At Grand Prairie,5400 W Sienna LN,1743,Sufficient,29.55
,Building #2000,,,
,"Peoria, IL 61615",,,
Apartments At Grand Prairie,5400 W Sienna LN,1743,Sufficient,29.55
,Building #4000,,,
,"Peoria, IL 61615",,,
Apartments At Grand Prairie,5400 W Sienna LN,1743,Sufficient,32.55
,Building #5000,,,
,"Peoria, IL 61615",,,
Apartments At Grand Prairie,5400 W Sienna LN,1743,Sufficient,29.55
,Building #6000,,,
,"Peoria, IL 61615",,,
Apollo Theater,311 Main ST,4909,Insufficient,39.48
,#E,,,
,"Peoria, IL 61602",,,
Applebee's Neighborhood Grill & Bar,3929 W War Memorial DR,652,Sufficient,25.3
,"Peoria, IL 61604",,,
Applianace Distributors Inc.,8320 N University ST,1754,Sufficient,27.87
,"Peoria, IL 61614",,,
Aspen Bluffs Apartments,3604 W Marengo DR,1173,Insufficient,28.33
,"Peoria, IL 61615",,,
Aspen Bluffs Apartments,3620 W Verona CT,1372,Insufficient,29.33
,"Peoria, IL 61604",,,
Aspen Bluffs Apartments,2605 N Lavalle CT,1372,Insufficient,29.33
,"Peoria, IL 61604",,,
Aspen Bluffs Apartments,2629 N Lavalle CT,1372,Insufficient,30.33
,"Peoria, IL 61604",,,
Aspen Bluffs Apartments,2604 N Lavalle CT,1372,Insufficient,30.33
,"Peoria, IL 61604",,,
Aspen Bluffs Apartments,2626 N Lavalle CT,1372,Insufficient,30.33
,"Peoria, IL 61604",,,
Associated Bank,2311 W Pioneer PKY,0,Insufficient,0
,"Peoria, IL 61615",,,
Associated Bank,2311 W Pioneer PKY,342,Sufficient,20.66
,"Peoria, IL 61615",,,
Associated Family Dental,3100 N Dries LN,0,Insufficient,0
,#301,,,
,"Peoria, IL 61604",,,
AT&T,5012 N Big Hollow RD,982,Sufficient,36.06
,"Peoria, IL 61614",,,
ATS Boost Mobile,516 Spring ST,547,Sufficient,29.09
,"Peoria, IL 61603",,,
Auntie Anne's,2200 W War Memorial DR,221,Sufficient,28.36
,#DU14B,,,
,"Peoria, IL 61613",,,
