Subcategory,Name,Address1,Address2,City,State,Zip,Email,Phone,FAX,OccupancyType,OccupancyNotes,MapPage,FireAlarmPanelLoc,MasterKeyLoc,BuildingHeight,NumberOfFloors,BasementPresent,Width,Length,SquareFeet,GasLPGShutoffLoc,ElectricalPanelLoc,FDConnections,SprinklerRoomLoc,OtherLocInfo,WaterSupplyInfo,ExposureInfo,HazMat,BuildingAccess,AccessProblems,VentilationProblems,TimeNormallyOccupied,PrePlanNotes,UserOccupancyID,LicenseNumber,NumberOfUnits,OccupancyLoad,UBCode,NFPACode,IBCode,AssessorParcelNumber,NumberMilepost,StreetPrefixDirection,StreetOrHighwayName,StreetType,StreetSuffix,AptOrSuite,ISOID,Latitude,CriticalInfrastructure,BuildingNumber,YearBuilt,Longitude,NFIRSPropertyUse,AssessedValue,NationalGrid,UtilityBillingNumber,RoofTypeId,RoofMaterialId,RoofConstructionId,ConstructionTypeId,StationID,DispatchID,Population DensityID
A2 Food and Drink,50's Dinner,4700 N University ST #60,,Peoria,IL,61614,,309 692-6300,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,46285,,,,,,,,4700,N,University,ST,,60,,40.7454525,,,,-89.608908,161,0,,,,,,Ordinary (Joisted Masonry) Class III,11,,
A2 Food and Drink (Liquor Lic.),8 Bit Beercade,100 State ST #A,,Peoria,IL,61602,,,,A-2 taverns and Bars,,205,,,,1,0,0,0,1900,,,,,,,,,,,,Day evening,,46518,,,66,,,,,100,,State,ST,,A,,40.6856797,,,,-89.595013,113,0,16T BL 8071 0710,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane,"Steel, Open Web",Ordinary (Joisted Masonry) Class III,8,,
A2 Food and Drink,A WORLD OF WINGS,1024 W MAIN ST,,PEORIA,IL,61606,,3096884711,,A-2 Restaurants,Business went out of business from the first inspection to the re-inspection. ,,none,With owner,,1,Yes,0,0,2000,East side of building,Basement west side,N/a,n/a,,,Building to the east,,North and south side,None,None,Daytime/evening,,35989,,1,4,,,,,1024,W,MAIN,ST,,,,40.699525,,,,-89.610232,161,0,16T  BL  7947  0867,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane,Beam - Wood,Ordinary (Joisted Masonry) Class III,3,,
A2 Food and Drink (Liquor Lic.),Agatucci's,2607 N University ST,,Peoria,IL,61614,,,,A-2 Restaurants,,1109,,,,,,,,,,,,,,,,,,,,,,15895,,,,,,,,2607,N,University,ST,,,,40.7194953,,,,-89.6131835,161,0,16T BL 7928 1090,,,,,Ordinary (Joisted Masonry) Class III,11,,
A2 Food and Drink (Liquor Lic.),Alexander Street Steakhouse,100 Alexander AVE,,Peoria,IL,61603,,688.0404,,A-2 Restaurants,,1206,,,,2,0,0,0,20000,,,,,,,,,,,,Day evening,,10631,,,,,,,,100,,Alexander,AVE,,,,40.714322,,,,-89.5590553,161,0,16T BL 8384 1019,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane,Rafter/Joist Construction,Heavy Timber Class IV,12,,
A2 Food and Drink (Liquor Lic.),Amy's on Adams,4201 SW Adams ST,,Peoria,IL,61605,,,,A-2 Night Clubs,,,,,,1,1,0,0,1500,,,,,,,,,,,,,,16193,,,,,,,,4201,SW,Adams,ST,,,,40.6615309,,,,-89.6352415,162,0,16T BL 7723 0452,,,,,Ordinary (Joisted Masonry) Class III,4,,
A2 Food and Drink,Anchors Away,4100 W Willow Knolls DR #C-12,,Peoria,IL,61615,,309.643.1878,,A-2 Restaurants,,1918,,,16,1,,60,55,3300,,,,,,,,,,,,,,49266 - 1,,,87,,,,,4100,W,Willow Knolls,DR,,C-12,,40.7722244,,,,-89.6559316,161,0,16t BL 7621 1670,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane with a pea gravel surface,"Steel, Open Web",Non-Combustible (All Metal) Class II,19,,
A2 Food and Drink,Antonio's Restaurant,320 Liberty ST,,Peoria,IL,61602,,,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,485612,,,,,,,,320,,Liberty,ST,,,,40.6909833,,,,-89.5925865,519,0,16T  BL  8093  0768,,,,,Non-Combustible (Masonry) Class I,1,,
A1 Theaters / Performing Arts,Apollo Theater,311 Main ST #E,,Peoria,IL,61602,,309 673-4343,,A-1 Theaters,,,,,,3,,,,25000,,,,,,,,,,,,,,32016,,2,,,,,,311,,Main,ST,,E,,40.6921197,,,,-89.5901704,180,0,,,,,,Wood Frame Class V,1,,
A2 Food and Drink (Liquor Lic.),Applebee's Neighborhood Grill & Bar,3929 W War Memorial DR,,Peoria,IL,61604,,,,A-2 Restaurants,,1918,in office in kitchen,,25,1,0,0,0,5250,,,,,,,,,,,,,,27617,,,180,,,,,3929,W,War Memorial,DR,,,,40.7345375,,,,-89.6183686,161,0,16T BL 7593 1678,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane,Rafter/Joist Construction,Ordinary (Joisted Masonry) Class III,19,,
A2 Food and Drink,Asia Grill Inc,5832 N Knoxville AVE #J,,Peoria,IL,61614,,,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5832,N,Knoxville,AVE,,J,,40.7581085,,,,-89.5927866,,0,,,,,,,,,
A2 Food and Drink (Liquor Lic.),Aurelio's Pizza,3821 N Sterling AVE,,Peoria,IL,61604,,,,A-2 Restaurants,,1314,,,,1,,,,7000,,,,,,,,,,,,,,,,,115,,,,,3821,N,Sterling,AVE,,,,40.734304,,,,-89.632643,161,0,,,,,,Ordinary (Joisted Masonry) Class III,13,,
A2 Food and Drink (Liquor Lic.),Avanti's Ristorante,8517 N Knoxville AVE,,Peoria,IL,61603,,,,A-2 Restaurants,,,,,,1,0,0,0,8300,,,,,,,,,,,,,,27916,,,280,,,,,8517,N,Knoxville,AVE,,,,40.7911044,,,,-89.6044327,161,0,16T BL 8026 1883,,,,,Ordinary (Joisted Masonry) Class III,15,,
A2 Food and Drink (Liquor Lic.),Azteca Mexican Restaurant,319 Main ST,,Peoria,IL,61602,,309-966-1232,,A-2 Restaurants,,102,,,,1,Yes,0,0,3500,,,,,,,,,,,,,,24442,,,45,,,,,319,,Main,ST,,,,40.6922274,,,,-89.5903528,161,0,16T BL 8112 0781,,,,,Ordinary (Joisted Masonry) Class III,1,,Urban
A2 Food and Drink (Liquor Lic.),Basket Case,610 W Main ST,,Peoria,IL,61606,,,,A-2 taverns and Bars,,314,,,,1,0,0,0,1200,,,,,,,,,,,,,,8308,,,45,,,,,610,W,Main,ST,,,,40.6950943,,,,-89.5930151,162,0,16T BL 8012 0864,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane,"Steel, Open Web",Ordinary (Joisted Masonry) Class III,3,,
A2 Food and Drink,Baskin Robbins/Dunkin Donuts,4525 N Sterling AVE,,Peoria,IL,61615,,309-682-0272,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,485609,,,,,,,,4525,N,Sterling,AVE,,,,40.7435542,,,,-89.6321627,519,0,16T  BL  7776  1362,,,,,Ordinary (Joisted Masonry) Class III,13,,
A2 Food and Drink (Liquor Lic.),Bearded Owl Brewing,112 State ST #A,,Peoria,IL,61602,,,,B- Business,,,,,,1,yes,0,0,5000,,,,,,,,,,,,,,29027 - 1,,,126,,,,,112,,State,ST,,A,,40.6855997,,,,-89.5951921,162,0,16T BL 8069 0708,,,,,Ordinary (Joisted Masonry) Class III,,,Suburban
A2 Food and Drink (Liquor Lic.),Beasley's South Fork,4023 SW Adams ST,,Peoria,IL,61605,,,,B- Business,Out Of Business,,,,,,,,,,,,,,,,,,,,,,,485611,,,,,,,,4023,SW,Adams,ST,,,,40.66236,,,,-89.6340096,549,0,16T  BL  7733  0461,,,,,Wood Frame Class V,1,,
A2 Food and Drink (Liquor Lic.),Beer 30,2422 N Knoxville AVE,,Peoria,IL,61603,,,,A-2 taverns and Bars,,,,,,2,1,0,0,2130,,,,,,,,,,,,,,10116,,,,,,,,2422,N,Knoxville,AVE,,,,40.7168473,,,,-89.5935563,162,0,,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane,Rafter/Joist Construction,Ordinary (Joisted Masonry) Class III,10,,
A2 Food and Drink (Liquor Lic.),Berlin,627 Main ST,,Peoria,IL,61602,,,,A-2 Night Clubs,,,In closet right of Main St  entry door,,35,2,0,0,0,8000,,,Main street side.,In closet right of main entry.,,,,,,,,Night,,47723,,,266,,,,,627,,Main,ST,,,,40.695274,,,,-89.593663,162,0,16T BL 8085 0816,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane,Rafter/Joist Construction,Ordinary (Joisted Masonry) Class III,1,,
